keyword
data catalog tools
open source data catalog tools
data governance tools
open source data governance tools
data lineage tools 
data quality tools 
data catalog pricing 
data governance pricing 
data governance for AI
data governance for banking 
data governance for compliance
alation vs atlan
collibra vs atlan 
alation pricing
openmetadata vs datahub 
alation alternatives
collibra alternatives
data catalog for snowflake 
data lineage for snowflake
data tagging and classification for snowflake 
snowflake data access control
snowflake governance 
snowflake cost optimization
snowflake data mesh
gartner data catalog 
gartner data governance 
gartner metadata management 
forrester data catalog
data governance framework
data governance roles 
federated data catalog
federated data governance 
automated data catalog 
data mesh setup
data governance process
data governance maturity
data governance committee
data dictionary benefits
active metadata platform
metadata control plane
